  id     efecto   n N_total potencia_con_n
 E1A  4.0000000   3       3      0.9084887
 E1B  4.0000000   3       3      0.9905841
 E1C  1.0000000  10      10      0.8030969
 E2A -0.4421432  41      41      0.8081603
 E2B -0.4421432  32      32      0.8040802
 E2C -0.2101589 178     178      0.8006399
 E3A  0.5000000  64     128      0.8014596
 E3B  0.5000000  86     172      0.9032300
 E3C  0.2500000 253     506      0.8013584
 E4A  0.3601933 121     242      0.8000181
 E4B  0.3601933 162     324      0.9000394
 E4C  0.2064555 369     738      0.8007604
 E5A  1.0000000  10      10      0.8030969
 E5B  0.5000000  34      34      0.8077775
 E5C  1.0000000   8       8      0.8150194
 E6A  0.2500000  53     159      0.8048873
 E6B  0.2500000  69     207      0.9022417
 E6C  0.2721655  45     135      0.8060327
 E7A  0.3240370  32      96      0.8053494
 E7B  0.3240370  42     126      0.9059784
 E7C  0.2592296  49     147      0.8017212
 E8A  0.2500000  32     128      0.8014112
 E8B  0.2500000  43     172      0.9032111
 E8C  0.2000000  50     200      0.8036282

24 variantes verificadas bajo los métodos y supuestos declarados.
