"id","metodo","efecto","alfa","potencia_objetivo","alternativa","n_sin_redondear","n","grupos","N_total","unidad","potencia_con_n","potencia_con_n_menos_1"
"E1A","t one.sample",4,0.05,0.8,"two.sided",2.72013939958881,3,1,3,"personas",0.908488743681949,0.34283571006542
"E1B","t one.sample",4,0.05,0.8,"greater",2.24866602005019,3,1,3,"personas",0.990584146951151,0.623803978421234
"E1C","t one.sample",1,0.05,0.8,"two.sided",9.93784993051292,10,1,10,"personas",0.803096856633018,0.748017092229654
"E2A","una proporcion",-0.442143188002954,0.05,0.8,"two.sided",40.1495727298578,41,1,41,"personas",0.808160273386064,0.798534642474058
"E2B","una proporcion",-0.442143188002954,0.05,0.8,"less",31.6258545228733,32,1,32,"personas",0.804080183200964,0.793005913307387
"E2C","una proporcion",-0.210158925277157,0.05,0.8,"two.sided",177.709631414542,178,1,178,"personas",0.800639925349482,0.798428786165648
"E3A","t two.sample",0.5,0.05,0.8,"two.sided",63.7656104441373,64,2,128,"personas por grupo",0.801459557922285,0.795168338123407
"E3B","t two.sample",0.5,0.05,0.9,"two.sided",85.0312849575072,86,2,172,"personas por grupo",0.903229979990497,0.899894079417817
"E3C","t two.sample",0.25,0.05,0.8,"two.sided",252.127502553914,253,2,506,"personas por grupo",0.801358352574203,0.799800834702011
"E4A","dos proporciones",0.360193297694732,0.05,0.8,"two.sided",120.994422975039,121,2,242,"personas por grupo",0.800018076311771,0.796754608126102
"E4B","dos proporciones",0.360193297694732,0.05,0.9,"two.sided",161.977544939686,162,2,324,"personas por grupo",0.900039427381223,0.898269984176604
"E4C","dos proporciones",0.206455482817306,0.05,0.8,"two.sided",368.28477453508,369,2,738,"personas por grupo",0.800760356669823,0.799696565254508
"E5A","t paired",1,0.05,0.8,"two.sided",9.93784993051292,10,1,10,"pares completos",0.803096856633018,0.748017092229654
"E5B","t paired",0.5,0.05,0.8,"two.sided",33.367129139077,34,1,34,"pares completos",0.80777750127944,0.795365841487638
"E5C","t paired",1,0.05,0.8,"greater",7.72761769793944,8,1,8,"pares completos",0.815019441556967,0.754395874223385
"E6A","ANOVA una via f",0.25,0.05,0.8,"F global",52.3966016055946,53,3,159,"personas por grupo",0.80488728536347,0.796732861719933
"E6B","ANOVA una via f",0.25,0.05,0.9,"F global",68.4970725483763,69,3,207,"personas por grupo",0.902241673886281,0.897739668466658
"E6C","ANOVA una via f",0.272165526975909,0.05,0.8,"F global",44.3700708379996,45,3,135,"personas por grupo",0.806032705019025,0.796384010356112
"E7A","ANOVA medias explicitas",0.324037034920393,0.05,0.8,"F global",31.6066000627322,32,3,96,"personas por grupo",0.805349448427806,0.791513421272042
"E7B","ANOVA medias explicitas",0.324037034920393,0.05,0.9,"F global",41.187943070753,42,3,126,"personas por grupo",0.905978374503688,0.898569325899813
"E7C","ANOVA medias explicitas",0.259229627936314,0.05,0.8,"F global",48.803673565105,49,3,147,"personas por grupo",0.801721191592872,0.792824877410394
"E8A","ANOVA factorial aditivo",0.25,0.05,0.8,"efectos principales F",32,32,4,128,"personas por celda",0.801411209706241,0.788655004283785
"E8B","ANOVA factorial aditivo",0.25,0.05,0.9,"efectos principales F",43,43,4,172,"personas por celda",0.903211088885514,0.89643374915768
"E8C","ANOVA factorial aditivo",0.2,0.05,0.8,"efectos principales F",50,50,4,200,"personas por celda",0.803628152717761,0.795620949638036
